PathParameter	MeanPathLikelihood	MLContribution
0.0000	-67490	-0.14697
2.1715e-06	-67872	-1.2981
2.1888e-05	-63808	-3.3997
8.4561e-05	-44681	-5.1501
0.00022061	-31027	-7.0934
0.00046416	-27224	-9.9699
0.00085232	-24146	-13.543
0.0014248	-23168	-18.093
0.0022237	-22131	-23.129
0.0032929	-21132	-28.784
0.0046784	-20417	-34.989
0.0064280	-19580	-41.003
0.0085909	-18335	-47.225
0.011218	-17619	-52.108
0.014361	-15535	-56.165
0.018075	-14715	-61.944
0.022413	-13842	-68.333
0.027432	-13386	-76.070
0.033190	-13037	-83.959
0.039745	-12581	-92.129
0.047156	-12282	-101.19
0.055484	-12019	-110.40
0.064790	-11707	-120.13
0.075138	-11513	-130.33
0.086591	-11248	-140.83
0.099213	-11067	-152.51
0.11307	-10946	-164.86
0.12823	-10806	-177.69
0.14475	-10699	-191.54
0.16271	-10628	-206.11
0.18218	-10547	-221.38
0.20322	-10495	-237.38
0.22591	-10432	-254.08
0.25031	-10393	-271.68
0.27650	-10354	-289.87
0.30455	-10314	-308.77
0.33454	-10281	-328.38
0.36653	-10247	-348.70
0.40060	-10220	-369.63
0.43683	-10184	-391.24
0.47530	-10159	-413.62
0.51608	-10129	-436.74
0.55924	-10107	-460.73
0.60487	-10086	-485.45
0.65304	-10067	-510.96
0.70384	-10050	-537.31
0.75734	-10036	-564.55
0.81363	-10025	-592.53
0.87278	-10010	-621.21
0.93488	-9997.5	-650.80
1.0000	-9988.8	

log marginal likelihood (using path sampling) from pathLikelihood.delta = -10515.128840135734

Inner area for path parameter in (2.1715e-06,0.93488) = -10515
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-25081	-0.14577
2.1715e-06	-24674	-1.2661
2.1888e-05	-23920	-3.4355
8.4561e-05	-22989	-5.0258
0.00022061	-22460	-6.9332
0.00046416	-21718	-10.095
0.00085232	-20447	-13.432
0.0014248	-20302	-18.165
0.0022237	-19573	-23.109
0.0032929	-18083	-28.620
0.0046784	-18089	-34.609
0.0064280	-17720	-41.517
0.0085909	-16275	-46.457
0.011218	-15368	-53.196
0.014361	-14132	-56.162
0.018075	-13612	-62.453
0.022413	-12880	-68.307
0.027432	-12797	-76.315
0.033190	-12515	-84.602
0.039745	-12070	-92.448
0.047156	-11627	-101.18
0.055484	-11520	-110.71
0.064790	-11303	-119.97
0.075138	-11165	-130.93
0.086591	-10898	-140.76
0.099213	-10815	-152.52
0.11307	-10672	-164.92
0.12823	-10575	-177.77
0.14475	-10472	-191.29
0.16271	-10415	-206.15
0.18218	-10383	-221.25
0.20322	-10339	-237.51
0.22591	-10317	-254.10
0.25031	-10247	-271.62
0.27650	-10249	-289.90
0.30455	-10208	-308.69
0.33454	-10170	-328.29
0.36653	-10155	-348.65
0.40060	-10123	-369.69
0.43683	-10104	-391.23
0.47530	-10087	-413.79
0.51608	-10068	-436.77
0.55924	-10042	-460.71
0.60487	-10021	-485.45
0.65304	-10018	-510.99
0.70384	-9998.3	-537.27
0.75734	-9993.7	-564.51
0.81363	-9978.6	-592.51
0.87278	-9966.9	-621.27
0.93488	-9956.1	-650.74
1.0000	-9955.5	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = -10517.431209105933
