PathParameter	MeanPathLikelihood	MLContribution
0.0000	-1.0416e+05	-0.21797
2.1715e-06	-96593	-1.8161
2.1888e-05	-87635	-4.5334
8.4561e-05	-57033	-6.7893
0.00022061	-42771	-9.9130
0.00046416	-38635	-14.668
0.00085232	-36939	-20.750
0.0014248	-35551	-27.979
0.0022237	-34498	-36.647
0.0032929	-34050	-46.461
0.0046784	-33014	-57.027
0.0064280	-32176	-68.362
0.0085909	-31038	-79.116
0.011218	-29195	-89.370
0.014361	-27667	-99.896
0.018075	-26136	-109.57
0.022413	-24376	-119.04
0.027432	-23058	-129.62
0.033190	-21967	-141.54
0.039745	-21221	-154.11
0.047156	-20368	-167.02
0.055484	-19743	-181.58
0.064790	-19278	-197.71
0.075138	-18936	-214.36
0.086591	-18498	-232.79
0.099213	-18389	-253.43
0.11307	-18189	-273.86
0.12823	-17945	-294.33
0.14475	-17676	-316.24
0.16271	-17536	-339.86
0.18218	-17381	-364.12
0.20322	-17230	-389.47
0.22591	-17106	-415.84
0.25031	-16976	-443.94
0.27650	-16925	-473.60
0.30455	-16842	-503.95
0.33454	-16772	-535.90
0.36653	-16730	-569.26
0.40060	-16683	-603.35
0.43683	-16622	-638.55
0.47530	-16579	-675.41
0.51608	-16549	-713.20
0.55924	-16497	-752.17
0.60487	-16471	-792.62
0.65304	-16435	-834.10
0.70384	-16404	-877.04
0.75734	-16381	-921.37
0.81363	-16358	-966.76
0.87278	-16330	-1013.4
0.93488	-16310	-1061.9
1.0000	-16302	

log marginal likelihood (using path sampling) from pathLikelihood.delta = -17234.599507565465

Inner area for path parameter in (2.1715e-06,0.93488) = -17234
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-37327	-0.22382
2.1715e-06	-37283	-1.7381
2.1888e-05	-37449	-4.4246
8.4561e-05	-34733	-6.5722
0.00022061	-34015	-9.8450
0.00046416	-32679	-14.524
0.00085232	-33446	-20.762
0.0014248	-32739	-28.011
0.0022237	-32009	-36.388
0.0032929	-31845	-46.622
0.0046784	-31062	-57.100
0.0064280	-30177	-68.605
0.0085909	-28857	-80.020
0.011218	-27658	-90.211
0.014361	-26189	-100.87
0.018075	-24873	-111.44
0.022413	-23067	-119.66
0.027432	-21752	-129.46
0.033190	-20866	-140.96
0.039745	-20140	-153.89
0.047156	-19451	-166.38
0.055484	-19122	-181.41
0.064790	-18798	-198.09
0.075138	-18285	-214.09
0.086591	-18051	-231.90
0.099213	-18021	-253.44
0.11307	-17835	-273.97
0.12823	-17648	-295.23
0.14475	-17395	-315.95
0.16271	-17261	-339.99
0.18218	-17158	-364.55
0.20322	-17014	-389.38
0.22591	-16940	-416.36
0.25031	-16785	-443.28
0.27650	-16792	-473.92
0.30455	-16707	-504.19
0.33454	-16643	-535.72
0.36653	-16635	-569.30
0.40060	-16562	-603.58
0.43683	-16523	-638.59
0.47530	-16469	-675.12
0.51608	-16460	-713.53
0.55924	-16406	-752.10
0.60487	-16393	-792.71
0.65304	-16365	-834.23
0.70384	-16340	-876.99
0.75734	-16321	-921.29
0.81363	-16289	-966.85
0.87278	-16282	-1013.4
0.93488	-16255	-1061.7
1.0000	-16257	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = -17238.533175377124
