PathParameter	MeanPathLikelihood	MLContribution
0.0000	-39958	-0.083198
2.1715e-06	-36668	-0.78470
2.1888e-05	-42931	-2.3022
8.4561e-05	-30536	-3.6479
0.00022061	-23089	-5.1799
0.00046416	-19448	-6.9745
0.00085232	-16488	-9.1951
0.0014248	-15635	-12.189
0.0022237	-14883	-15.659
0.0032929	-14408	-19.639
0.0046784	-13940	-23.996
0.0064280	-13490	-28.775
0.0085909	-13118	-33.869
0.011218	-12667	-39.053
0.014361	-12180	-44.016
0.018075	-11526	-49.422
0.022413	-11258	-55.519
0.027432	-10864	-61.536
0.033190	-10511	-67.769
0.039745	-10167	-74.379
0.047156	-9905.3	-81.730
0.055484	-9722.7	-89.114
0.064790	-9428.1	-96.798
0.075138	-9280.7	-105.53
0.086591	-9148.9	-114.76
0.099213	-9034.5	-124.54
0.11307	-8940.7	-135.00
0.12823	-8872.1	-146.18
0.14475	-8818.6	-157.87
0.16271	-8759.1	-170.06
0.18218	-8712.8	-182.88
0.20322	-8670.2	-196.24
0.22591	-8630.3	-210.14
0.25031	-8592.6	-224.59
0.27650	-8558.5	-239.59
0.30455	-8524.0	-255.21
0.33454	-8499.2	-271.46
0.36653	-8471.7	-288.32
0.40060	-8451.2	-305.78
0.43683	-8428.1	-323.93
0.47530	-8414.1	-342.70
0.51608	-8394.8	-362.13
0.55924	-8384.3	-382.16
0.60487	-8365.9	-402.69
0.65304	-8352.1	-424.11
0.70384	-8345.7	-446.28
0.75734	-8337.4	-468.99
0.81363	-8327.3	-492.36
0.87278	-8320.5	-516.41
0.93488	-8312.1	-541.10
1.0000	-8305.2	

log marginal likelihood (using path sampling) from pathLikelihood.delta = -8652.630627804623

Inner area for path parameter in (2.1715e-06,0.93488) = -8652.5
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-16943	-0.086582
2.1715e-06	-14562	-0.70238
2.1888e-05	-17954	-2.3683
8.4561e-05	-15416	-3.4883
0.00022061	-14026	-5.0464
0.00046416	-13925	-7.0853
0.00085232	-13622	-9.1406
0.0014248	-13163	-12.201
0.0022237	-12947	-15.554
0.0032929	-12754	-19.619
0.0046784	-12478	-24.045
0.0064280	-12168	-28.702
0.0085909	-12003	-33.958
0.011218	-11548	-38.978
0.014361	-11075	-44.292
0.018075	-10665	-49.204
0.022413	-10498	-55.713
0.027432	-10126	-61.643
0.033190	-9840.3	-67.878
0.039745	-9656.7	-74.464
0.047156	-9452.3	-81.653
0.055484	-9262.4	-89.339
0.064790	-9029.3	-96.656
0.075138	-8956.5	-105.45
0.086591	-8812.5	-114.71
0.099213	-8775.1	-124.48
0.11307	-8705.1	-134.95
0.12823	-8683.7	-146.13
0.14475	-8641.7	-157.83
0.16271	-8594.5	-169.99
0.18218	-8552.0	-182.85
0.20322	-8557.1	-196.30
0.22591	-8522.1	-210.11
0.25031	-8465.9	-224.56
0.27650	-8474.3	-239.66
0.30455	-8428.2	-255.17
0.33454	-8415.1	-271.53
0.36653	-8400.7	-288.30
0.40060	-8384.9	-305.81
0.43683	-8358.6	-323.86
0.47530	-8345.0	-342.72
0.51608	-8335.4	-362.08
0.55924	-8335.3	-382.25
0.60487	-8318.4	-402.71
0.65304	-8313.2	-424.03
0.70384	-8303.8	-446.25
0.75734	-8299.9	-468.99
0.81363	-8290.7	-492.32
0.87278	-8287.3	-516.46
0.93488	-8286.2	-541.12
1.0000	-8276.7	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = -8652.431515399448
