PathParameter	MeanPathLikelihood	MLContribution
0.0000	-63923	-0.14391
2.1715e-06	-68616	-1.2306
2.1888e-05	-56213	-3.0703
8.4561e-05	-41765	-4.9154
0.00022061	-30492	-6.8974
0.00046416	-26149	-9.7989
0.00085232	-24339	-13.684
0.0014248	-23465	-18.498
0.0022237	-22849	-23.730
0.0032929	-21539	-29.289
0.0046784	-20739	-35.811
0.0064280	-20198	-42.296
0.0085909	-18913	-47.936
0.011218	-17582	-52.884
0.014361	-16066	-56.802
0.018075	-14527	-61.496
0.022413	-13823	-68.452
0.027432	-13452	-76.359
0.033190	-13072	-84.292
0.039745	-12648	-92.423
0.047156	-12294	-101.28
0.055484	-12028	-111.02
0.064790	-11831	-121.07
0.075138	-11569	-131.28
0.086591	-11356	-142.19
0.099213	-11174	-153.35
0.11307	-10960	-165.21
0.12823	-10840	-178.17
0.14475	-10722	-191.64
0.16271	-10616	-206.10
0.18218	-10559	-221.49
0.20322	-10494	-237.54
0.22591	-10447	-254.25
0.25031	-10391	-271.58
0.27650	-10348	-289.83
0.30455	-10317	-308.68
0.33454	-10273	-328.11
0.36653	-10240	-348.52
0.40060	-10217	-369.63
0.43683	-10187	-391.28
0.47530	-10158	-413.82
0.51608	-10139	-437.01
0.55924	-10110	-460.96
0.60487	-10095	-485.72
0.65304	-10071	-511.20
0.70384	-10056	-537.59
0.75734	-10040	-564.73
0.81363	-10027	-592.61
0.87278	-10011	-621.37
0.93488	-10003	-651.00
1.0000	-9989.8	

log marginal likelihood (using path sampling) from pathLikelihood.delta = -10528.250804389201

Inner area for path parameter in (2.1715e-06,0.93488) = -10528
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-23873	-0.13799
2.1715e-06	-24592	-1.2887
2.1888e-05	-23797	-2.9744
8.4561e-05	-22524	-4.7250
0.00022061	-21834	-6.8478
0.00046416	-21537	-9.7233
0.00085232	-20740	-13.568
0.0014248	-20535	-18.336
0.0022237	-20437	-23.980
0.0032929	-19495	-29.308
0.0046784	-18797	-35.569
0.0064280	-18345	-42.812
0.0085909	-16975	-47.971
0.011218	-16164	-53.941
0.014361	-14712	-57.910
0.018075	-13107	-61.089
0.022413	-12844	-68.126
0.027432	-12675	-76.335
0.033190	-12442	-84.806
0.039745	-11932	-92.140
0.047156	-11645	-100.88
0.055484	-11475	-110.61
0.064790	-11374	-121.13
0.075138	-11154	-131.18
0.086591	-10994	-142.06
0.099213	-10925	-153.99
0.11307	-10654	-165.02
0.12823	-10600	-178.20
0.14475	-10530	-191.87
0.16271	-10427	-205.81
0.18218	-10366	-221.47
0.20322	-10346	-237.49
0.22591	-10314	-254.31
0.25031	-10262	-271.59
0.27650	-10238	-289.80
0.30455	-10220	-308.87
0.33454	-10166	-328.16
0.36653	-10136	-348.33
0.40060	-10136	-369.61
0.43683	-10107	-391.33
0.47530	-10083	-413.67
0.51608	-10072	-437.14
0.55924	-10037	-460.82
0.60487	-10017	-485.78
0.65304	-10017	-511.14
0.70384	-10005	-537.58
0.75734	-9989.3	-564.71
0.81363	-9978.6	-592.68
0.87278	-9961.4	-621.23
0.93488	-9961.7	-651.04
1.0000	-9955.7	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = -10529.067439511075
