	Bayesian SkyGrid: Combined			
Time	Mean	Median	Upper	Lower
2014.9973	19.82546434558283	19.256036294366993	42.621771733627995	9.439590849900252
2014.731993877551	21.39891253002786	20.985874755161447	37.04089433282564	12.524960764244724
2014.4666877551022	16.782184591031175	16.549990399382732	27.27597790944921	10.474899882464364
2014.2013816326532	27.990221790523865	27.12359158160383	52.337891893468644	15.797625096137935
2013.9360755102043	40.91222475177564	39.68021529080369	87.11187089791001	20.149339910733058
2013.6707693877554	14.639912146701326	14.4840257198761	30.042168569037983	7.38678010121637
2013.4054632653065	4.261553498135358	4.199568873700153	8.112973180134917	2.333898203348291
2013.1401571428576	5.313497715614063	5.214840500681016	11.52738251314221	2.61043731153448
2012.8748510204086	8.672333365875819	8.353278095280151	24.229892823061707	3.3709700152627926
2012.6095448979597	10.012354540800022	9.69505717644243	30.177137433701724	3.419353235057498
2012.3442387755108	13.525442042755124	12.939251963160432	46.72888971153044	4.163016523586588
2012.0789326530619	19.560337490182647	18.615049359772954	72.14297394368354	6.0556054004369715
2011.813626530613	27.77955203780308	26.196967214763323	114.88083676394177	7.898594424634827
2011.548320408164	27.436098214838474	25.74736053276702	118.55772946695548	7.367358628374503
2011.2830142857151	19.590211412703667	18.399060134774743	78.5896141161256	5.3481127306772835
2011.0177081632662	19.653981510380074	18.624393788587234	67.02166680180703	6.18812717892034
2010.7524020408173	14.764402512871586	14.055921365690812	50.991704853144746	4.62080728666954
2010.4870959183684	12.144397537821392	11.676945703722833	39.62432956816874	4.009254033393536
2010.2217897959194	10.483707520819015	10.169317864638302	34.07986402692724	3.388613875083632
2009.9564836734705	9.07056285751211	8.800959373265613	27.11264728572316	3.231773920037519
2009.6911775510216	8.130525453395084	7.983357200613192	24.594931886925238	2.775758178231988
2009.4258714285727	8.275883347751646	8.11418899216009	26.78638191451753	2.6602359574487586
2009.1605653061238	11.57093265417377	11.226465551354973	30.76724829541263	4.785086443368966
2008.8952591836749	14.6947093011677	14.300850853018748	36.625166254675804	5.97801979530042
2008.629953061226	16.531220387821662	15.966698636659661	49.63614059922421	5.78320035422856
2008.364646938777	14.593550076731193	14.04795403503353	45.98381856532915	5.122209374978922
2008.099340816328	21.94744993105418	20.92746592317102	66.15012113982519	7.5341793103486525
2007.8340346938792	20.52657777626114	19.55229606241342	64.5961369669403	6.904393228421156
2007.5687285714303	12.507585546867467	12.058103653575754	37.79051298091415	4.574335529900116
2007.3034224489813	13.754629404732214	13.350427011076972	39.316725499684395	5.132685144990985
2007.0381163265324	37.21092347068277	35.6114554674848	100.1362964812468	14.338740327186379
2006.7728102040835	33.973529115640055	32.31138364949172	98.37414124081971	12.707668582843459
2006.5075040816346	27.03371901585271	26.55038872497742	67.26256636168331	11.338550348839755
2006.2421979591857	21.07549549725408	20.70194152059575	45.32750838765033	9.902568178209776
2005.9768918367367	19.383594703908745	18.849919684658175	45.66539903635256	9.104757448671522
2005.7115857142878	11.099649822300458	11.006847174322004	31.629006419635537	3.740982413797936
2005.446279591839	3.1612130377721055	3.0558463269965963	8.213087405876275	1.1959757883076183
2005.18097346939	1.833587393877571	1.8007158642714463	5.773231485433233	0.6299321279529703
2004.915667346941	0.9511048529184192	0.9474832750115295	2.9319772873209877	0.2864141039771058
2004.6503612244921	1.077064511252804	1.0566616953772148	4.16138384873146	0.28617234786642
2004.3850551020432	1.5359404751239456	1.477329741953767	7.977640866983311	0.3294639408657373
2004.1197489795943	1.8412857712952826	1.7740070909360346	12.941041437252514	0.32067197209463955
2003.8544428571454	1.4798898113028787	1.4623076849347825	13.316106743324655	0.16167121557690098
2003.5891367346965	1.0717863932532266	1.074488943198918	11.922943427222764	0.10166408531225109
2003.3238306122475	0.8085568787196892	0.8263471339465137	10.874201765192245	0.07334277152103735
2003.0585244897986	0.6762605414395905	0.7069867786117937	10.15455021744595	0.0430175609237146
2002.7932183673497	0.6030627042517693	0.6374549255645585	12.144668409568409	0.030864246965589162
2002.5279122449008	0.5623212881776543	0.6014565191933532	13.721701051974115	0.01739651208447377
2002.2626061224519	0.5364047237431002	0.5714264936316736	19.591881815656464	0.011903732454247359
2001.997300000003	0.5281414841080705	0.5563153697380376	24.406298047578165	0.007963466278403246
2001.997300000003	0.5281414841080705	0.5563153697380376	24.406298047578165	0.007963466278403246
