	Bayesian SkyGrid: Combined			
Time	Mean	Median	Upper	Lower
2015.0	44.04122949378422	36.485110736104296	1121.3399584666888	2.047272120505995
2014.6938775510205	44.57174182934808	36.81486664893135	828.5054159852773	3.925003497457161
2014.387755102041	43.528535364069654	36.59574065286777	499.0903754387631	5.900174148127309
2014.0816326530614	39.17245991172338	34.15468817390162	266.9546690054695	8.174677216826861
2013.775510204082	36.22026482322909	32.42244089079941	205.34424097538044	8.11386866180543
2013.4693877551024	32.40278293751059	29.050741257464594	176.7842642119103	7.66416486041027
2013.1632653061229	29.410985324062768	26.330756541760664	152.47496043957565	7.446312069671886
2012.8571428571433	21.804208733649144	20.243855800953966	112.15520095724455	4.7023478814875554
2012.5510204081638	16.908333852618153	15.884115538188393	65.43261333532487	4.42099916578985
2012.2448979591843	11.177428914934982	11.212993099802057	37.381426015747394	3.1426347202697427
2011.9387755102048	13.365362736474689	12.997034949724506	43.775216597303505	4.055982073431179
2011.6326530612253	16.31066046056101	15.248632385324258	62.89349356396652	4.538237935452625
2011.3265306122457	18.011357733250037	16.461161771573348	90.99008351495186	5.035950347379567
2011.0204081632662	22.184051715898597	19.806711656097097	112.06649198251274	5.452266219137772
2010.7142857142867	23.869598209180534	21.130102575684447	134.3538771106629	5.901293632235975
2010.4081632653072	21.564603160911695	19.29129185658586	109.29602585705678	5.22927153603429
2010.1020408163276	22.610306110138016	19.930991731492266	122.94410422622117	5.049080190571522
2009.7959183673481	21.10776258787044	18.517495255863253	126.24540962106026	5.048677598044011
2009.4897959183686	12.5969759778388	11.375020390997129	74.33876637841772	2.6144992546513284
2009.183673469389	5.588161046764401	5.47428694905285	25.666697873645507	1.1293788418391792
2008.8775510204096	4.587522174173778	4.581989752264763	15.220718379629425	1.3245406051731499
2008.57142857143	5.052832359224565	5.007797520577199	19.57539578266729	1.2280563128720272
2008.2653061224505	4.718922908894502	4.743735907999382	20.66362260144162	0.8931157429745473
2007.959183673471	3.7287913823589145	3.8316761995169664	16.83830422615387	0.7076194534817395
2007.6530612244915	3.5641770653692584	3.7005426530082155	14.800383010855542	0.7338776797218889
2007.346938775512	4.591609987809113	4.629951052582733	18.04045408573698	1.1276145149422114
2007.0408163265324	5.960530865052704	5.913858020299655	21.809502375244374	1.5741096941709867
2006.734693877553	10.501800600784742	9.663975734899113	45.79652209083294	2.8859599781819814
2006.4285714285734	15.444237620391053	13.79080091531689	79.18157046521367	4.06163738230955
2006.1224489795939	17.313221960769294	15.538248611510591	87.50932115349846	4.046045741913128
2005.8163265306143	15.008790851357537	13.756302243000855	74.33927418767382	3.4380734281959464
2005.5102040816348	11.015792032976044	10.22253384628618	54.16581873843907	2.716817436548055
2005.2040816326553	8.284523787761822	7.825559995425081	33.43810540583653	2.2487319790622227
2004.8979591836758	5.4221971572942325	5.355720852972929	22.299835419985744	1.2943284131779138
2004.5918367346962	3.6717460464716685	3.6988052729401635	14.986952024541667	0.7920226854002566
2004.2857142857167	3.4871186899654965	3.4636566134213536	13.325947328145896	0.9281961363692686
2003.9795918367372	3.5310369785961653	3.46297532766709	12.783859205710593	0.9392691773296935
2003.6734693877577	3.526639712069818	3.4323886269427253	14.63605717860005	0.8996497544049805
2003.3673469387782	3.6452770318884378	3.53076939705434	18.378224613292073	0.8387678949424212
2003.0612244897986	3.5633157101754125	3.473027445519645	21.89565199375901	0.64217981262881
2002.755102040819	3.18943599212716	3.164490798667599	25.1455559578342	0.42052032084450314
2002.4489795918396	2.6332702174509834	2.6978720082177174	25.294132547183523	0.25199272962615826
2002.14285714286	2.107844305967289	2.232781717498159	22.592551367726426	0.15967590142196614
2001.8367346938805	1.7165577141353088	1.8990505898857464	18.62245205739395	0.09911876667976138
2001.530612244901	1.4432303372849744	1.641103472982794	18.980539945113943	0.07568463088990383
2001.2244897959215	1.2447338040913885	1.4622588163437493	19.09346732158758	0.04783598654131106
2000.918367346942	1.1143192321012814	1.3307608698242093	20.64790084216424	0.030679828920163646
2000.6122448979625	1.0267005284850665	1.2578806439284749	25.927928908396602	0.023770205346575233
2000.306122448983	0.9660776458718422	1.2126103566353628	23.67114843598957	0.013100124545772559
2000.0000000000034	0.9247672794743494	1.1715645093824585	36.10702546179781	0.010608122578674028
2000.0000000000034	0.9247672794743494	1.1715645093824585	36.10702546179781	0.010608122578674028
1999.693877551024	0.9247672794743494	1.1715645093824585	36.10702546179781	0.010608122578674028
1999.3877551020444	0.9247672794743494	1.1715645093824585	36.10702546179781	0.010608122578674028
1999.0816326530648	0.9247672794743494	1.1715645093824585	36.10702546179781	0.010608122578674028
