	Bayesian SkyGrid: 0423_HA_c232-2.log			
Time	Mean	Median	Upper	Lower
2017.833	9.237958358648301	9.107942001475145	90.69525154330606	0.9242847103935086
2017.48606122449	9.295016649179168	9.11044552068339	65.68729506355739	1.1357458540864949
2017.1391224489798	9.114977189486943	9.003178010276287	60.91019309149857	1.5685418411252368
2016.7921836734697	8.852735827924572	8.836756521503139	47.09566976548183	1.8138349595695207
2016.4452448979596	9.919604725305785	9.634776312131992	35.60125037188492	2.4774438793568425
2016.0983061224495	10.86300279580358	10.341547496394748	34.119051727099865	3.7409702940568264
2015.7513673469393	11.847234427632173	11.215758344875844	29.647622610639015	5.118146952730501
2015.4044285714292	10.31076354861046	10.00113851085907	19.4314896751155	5.612462968231364
2015.057489795919	7.420161821880295	7.457343222081558	11.789469754694837	4.702818158362889
2014.710551020409	8.99097049473475	8.907526094399044	15.646267143990224	5.1218299029208545
2014.3636122448988	10.61096520462051	10.400998828892682	19.341507864078	5.743603643129856
2014.0166734693887	11.921783006357055	11.66821747104781	21.780319685598254	6.810409485868319
2013.6697346938786	13.956938860802872	13.487215706070888	28.24878847082369	7.403383256856614
2013.3227959183685	14.77370630901522	14.139061504364847	35.83109948407049	7.141039416647546
2012.9758571428583	11.09370706322493	10.761625166898042	25.510468272564715	5.094797754968388
2012.6289183673482	7.997198248982711	8.110205110163918	15.888176187424055	3.75346402505421
2012.281979591838	8.060607896557885	8.19169591038622	15.591612252819166	3.9923827669047007
2011.935040816328	10.838112855847871	10.552707975956118	21.089142496201102	5.7436889254306225
2011.5881020408178	11.885496507126572	11.436631435292426	27.661742789659726	6.042605516655951
2011.2411632653077	11.627885031919394	11.168574768568643	25.46740728533638	5.723418714556764
2010.8942244897976	9.154417217993968	9.035829992543418	20.587402504118078	4.631776688383693
2010.5472857142875	7.762717512858698	7.692774884500919	16.818985326317943	3.6796488713058553
2010.2003469387773	7.735784618716262	7.565406379516196	18.234935347302237	3.6621455265436365
2009.8534081632672	6.415662779760159	6.273873554835881	14.718652307395018	3.0776735191611033
2009.506469387757	4.997761688289539	4.967812071382822	10.547172854578992	2.3215621270805897
2009.159530612247	3.912101038802955	3.937141669863417	7.858177351084312	1.9220970045443244
2008.8125918367368	3.9747882048900465	3.939700811044655	8.036400250753955	1.9699767378538575
2008.4656530612267	3.7552526902445083	3.7143874994924517	8.076951275659106	1.6985162997165135
2008.1187142857166	3.533168491950753	3.4722624367574606	7.670350586281397	1.7401418255167505
2007.7717755102065	2.58234637710815	2.600103685384096	5.20309922095006	1.1987622536368567
2007.4248367346963	2.175077741668363	2.2133288795192327	4.806438295313284	0.9777260129132923
2007.0778979591862	2.001101976962852	2.0998371703408205	5.1313001203126545	0.7357723771043965
2006.730959183676	2.258639682881072	2.354352536676334	5.893496596224367	0.784244341956441
2006.384020408166	3.037358020199323	3.0485677611782003	8.151160533024585	1.168560752429763
2006.0370816326558	4.038559428963886	3.9070099534143123	10.27075591331359	1.7895221147057445
2005.6901428571457	4.41985480156039	4.270854333510161	9.778671324836134	2.1202404153616667
2005.3432040816356	3.84953358187482	3.80788049342057	7.334695282339342	2.041430127011599
2004.9962653061255	4.556776951652768	4.443147797145393	9.46966679084416	2.3310668421937786
2004.6493265306153	5.01590190224519	4.729876968535135	12.902935362657841	2.247220184214238
2004.3023877551052	4.410387818629932	4.1855148207267385	11.384726480286384	1.805728565373391
2003.955448979595	2.8954570465975142	2.9034202511780873	7.5538844846423325	1.0940514522870648
2003.608510204085	1.8208163485097462	1.9458075744358478	5.524169556745586	0.5288786438405431
2003.2615714285748	1.3901251360687827	1.4878829686367454	4.76365647951227	0.3278091931730435
2002.9146326530647	1.1757333825736909	1.2966965546592097	4.962584129639523	0.23411558524523107
2002.5676938775546	1.0721126995569523	1.214403773685782	5.577144141310452	0.1755858832407494
2002.2207551020444	1.0454512348184637	1.1737428204024274	5.7354825591849155	0.11544565721714298
2001.8738163265343	1.0322707123872226	1.1881911127878295	7.720159012859037	0.10395200753387372
2001.5268775510242	1.0311687630796567	1.2184155181142324	8.340888692017307	0.07501626218557596
